regime,count,mass_fraction,mean_reward,terminal_next_rate,terminal_risk_within_25,action_0_prob,action_1_prob,action_2_prob,action_purity,mean_tip_height,mean_theta1,mean_theta2
0,13,0.012048192771084338,-1.0,0.0,0.0,0.46153846153846156,0.07692307692307693,0.46153846153846156,0.46153846153846156,-1.0383545778740533,0.38613479702746384,1.026286822394901
1,4,0.0037071362372567192,-1.0,0.0,0.0,0.0,0.0,1.0,1.0,-0.3031218382943452,0.1119020196954952,-0.9801683520884222
2,6,0.005560704355885079,-1.0,0.0,0.0,0.8333333333333334,0.16666666666666666,0.0,0.8333333333333334,-1.7196196290832375,-0.19021547453425658,0.6694312822572748
3,2,0.0018535681186283596,-1.0,0.0,0.5,1.0,0.0,0.0,1.0,-0.8412445579821892,0.5749874525225598,0.9868425136761702
4,16,0.014828544949026877,-1.0,0.0,0.0,0.0625,0.0625,0.875,0.875,-1.1778201883903077,0.22827934214786416,-0.7088577524760992
5,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6,4,0.0037071362372567192,-1.0,0.0,0.5,1.0,0.0,0.0,1.0,-1.6354580463507824,0.1525413645336641,-0.9312675408716045
7,7,0.006487488415199258,-1.0,0.0,0.14285714285714285,0.0,0.0,1.0,1.0,0.05761127170528803,0.5868767887826074,1.58878285672191
8,15,0.013901760889712697,-1.0,0.0,0.26666666666666666,0.0,0.0,1.0,1.0,-1.4638427409807748,0.15357674197883378,-0.2723759938286012
9,21,0.019462465245597776,-1.0,0.0,0.047619047619047616,0.0,0.0,1.0,1.0,-0.45442936590065275,0.29059201281406866,-1.839697524064448
10,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
11,7,0.006487488415199258,-1.0,0.0,0.2857142857142857,1.0,0.0,0.0,1.0,-0.1965389484155376,-0.18077785347337225,-0.3615764424394678
12,18,0.016682113067655237,-0.9444444444444444,0.05555555555555555,0.2222222222222222,1.0,0.0,0.0,1.0,-0.2715259331210844,-0.3212822744277392,-1.954224595002814
13,4,0.0037071362372567192,-1.0,0.0,0.75,0.0,0.0,1.0,1.0,0.2838445445168462,0.4163726391893017,1.5448689422784692
14,3,0.0027803521779425394,-1.0,0.0,0.6666666666666666,1.0,0.0,0.0,1.0,-0.8220203677423825,0.5547382380728897,-2.0516722907596656
15,3,0.0027803521779425394,-1.0,0.0,0.0,1.0,0.0,0.0,1.0,-1.567958921926122,0.07219190104273683,0.6796006691573853
16,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
17,3,0.0027803521779425394,-1.0,0.0,0.0,1.0,0.0,0.0,1.0,-1.8022767340774564,-0.11798677801071182,0.3507438317902704
18,8,0.0074142724745134385,-1.0,0.0,0.125,0.0,0.125,0.875,0.875,-1.5991885175414404,0.11312917674597886,-0.22903804624436352
19,3,0.0027803521779425394,-1.0,0.0,0.3333333333333333,0.0,0.0,1.0,1.0,-1.201919790498075,0.127912114617885,-1.2821686066462534
20,21,0.019462465245597776,-1.0,0.0,0.0,0.047619047619047616,0.047619047619047616,0.9047619047619048,0.9047619047619048,-1.770063571040593,-0.050689747862207604,0.25033551351899785
21,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
22,27,0.025023169601482854,-1.0,0.0,0.0,0.07407407407407407,0.1111111111111111,0.8148148148148148,0.8148148148148148,-1.7102677594386133,-0.053334839587776954,0.7464839582307051
23,12,0.011121408711770158,-1.0,0.0,0.08333333333333333,1.0,0.0,0.0,1.0,-0.14602833007942875,0.25393782214194016,0.3649187241023027
