system,operator,mode_index,lambda_real,lambda_imag,lambda_abs,r3_residual_rho,r3_residual_matrix_formula,r3_feature_matrix_formula_abs_diff,representation_defect_eta,legacy_source_normalized_residual_reduced_candidate,successor_denominator_norm_sq,source_denominator_norm_sq,representation_ridge,rank_rtol,rank_threshold,sigma_max,sigma_min_retained,effective_feature_rank,ambient_num_regimes,subsample_size,rank_by_r3_residual
duffing,nlms,6,1.0000000000000007,-3.801793799307534e-34,1.0000000000000007,2.752743554385469e-05,2.7527435543936348e-05,8.165736424710357e-17,3.1917460580846496e-14,0.005247527932936938,1.0003310793370543,0.9999999964415275,1e-08,1e-10,1.910750361185157e-09,19.10750361185157,0.02523696830247617,10,10,800,1
duffing,nlms,0,0.9895990297955256,0.03199518965330228,0.9901161204289103,0.0007744973444151206,0.0007744973444151907,7.003946034256359e-17,9.281845618067685e-14,0.027881871213031796,1.0037461004265396,0.9999999317046706,1e-08,1e-10,1.910750361185157e-09,19.10750361185157,0.02523696830247617,10,10,800,2
duffing,nlms,1,0.9895990297955254,-0.03199518965330228,0.9901161204289101,0.0007744973444151309,0.0007744973444151307,2.168404344971009e-19,9.281845599433723e-14,0.027881871213031977,1.0037461004265544,0.9999999317046857,1e-08,1e-10,1.910750361185157e-09,19.10750361185157,0.02523696830247617,10,10,800,3
duffing,nlms,2,0.9866745286311814,6.605159328978721e-18,0.9866745286311814,0.04538398982037627,0.045383989820376426,1.5265566588595902e-16,4.062601186338585e-12,0.17731337697129596,0.6927554636297426,0.9999991493780536,1e-08,1e-10,1.910750361185157e-09,19.10750361185157,0.02523696830247617,10,10,800,4
duffing,nlms,3,0.9929005869228851,3.871331171653421e-18,0.9929005869228851,0.05760977258427266,0.0576097725842712,1.4641066137244252e-15,9.70844847587453e-12,0.2148060510789526,0.800933012912746,0.9999984644890253,1e-08,1e-10,1.910750361185157e-09,19.10750361185157,0.02523696830247617,10,10,800,5
duffing,nlms,7,0.9997441976842406,1.0311393408462364e-34,0.9997441976842406,0.059899892708028805,0.05989989270802626,2.546574062733953e-15,1.1155930517527724e-10,0.24492254334998326,1.0014400241553247,0.9999849594110565,1e-08,1e-10,1.910750361185157e-09,19.10750361185157,0.02523696830247617,10,10,800,6
duffing,nlms,5,0.9994390208090711,0.0005959134440203466,0.9994391984651331,0.06578864322607492,0.06578864322606622,8.701372955499664e-15,1.2339387106104016e-10,0.28046440708566084,1.195633568048414,0.9999850826312735,1e-08,1e-10,1.910750361185157e-09,19.10750361185157,0.02523696830247617,10,10,800,7
duffing,nlms,4,0.9994390208090712,-0.0005959134440205235,0.9994391984651332,0.06578864322607574,0.06578864322606914,6.591949208711867e-15,1.233938712145757e-10,0.2804644070856668,1.1956335680484846,0.9999850826313028,1e-08,1e-10,1.910750361185157e-09,19.10750361185157,0.02523696830247617,10,10,800,8
duffing,nlms,8,0.9998500033515986,1.3254017840513609e-33,0.9998500033515986,0.09295354600767186,0.09295354600766302,8.840150833577809e-15,2.8953965974653573e-10,0.3141460612516071,1.061657646812285,0.9999705649120497,1e-08,1e-10,1.910750361185157e-09,19.10750361185157,0.02523696830247617,10,10,800,9
duffing,nlms,9,0.9999404007369525,4.223281488369256e-34,0.9999404007369525,0.3725090747500327,0.3725090747500593,2.65898414397725e-14,4.580688926500327e-10,0.7639327341400952,1.5665945711674325,0.9999613976381212,1e-08,1e-10,1.910750361185157e-09,19.10750361185157,0.02523696830247617,10,10,800,10
