system,operator,mode_index,lambda_real,lambda_imag,lambda_abs,legacy_rkhs_residual_feature,legacy_rkhs_residual_matrix_formula,legacy_feature_matrix_formula_abs_diff,legacy_representation_error_unsquared,legacy_denominator_norm,subsample_size,num_regimes,legacy_rank_by_residual
duffing,nlms,8,1.0000000000000007,-7.202441076105602e-33,1.0000000000000007,0.0052475279339441365,0.005247527933951776,7.639722188201858e-15,1.7865458513885034e-07,0.9999999982207012,800,10,1
duffing,nlms,0,0.9895990297955247,0.03199518965330206,0.9901161204289094,0.027881871213029746,0.027881871213029288,4.579669976578771e-16,3.046612152297424e-07,0.9999999658523387,800,10,2
duffing,nlms,1,0.9895990297955247,-0.031995189653301864,0.9901161204289094,0.02788187121303002,0.027881871213029485,5.342948306008566e-16,3.046612149845395e-07,0.9999999658523447,800,10,3
duffing,nlms,2,0.9866745286311831,-8.4204219159736e-18,0.9866745286311831,0.17731337697130123,0.17731337697129884,2.3869795029440866e-15,2.015589538453251e-06,0.9999995746889405,800,10,4
duffing,nlms,3,0.9929005869228856,-7.12820991655469e-19,0.9929005869228856,0.21480605107896922,0.2148060510789665,2.7200464103316335e-15,3.1158383267400703e-06,0.9999992322441823,800,10,5
duffing,nlms,6,0.9997441976842417,1.8368227744359981e-31,0.9997441976842417,0.24492254335039468,0.24492254335038108,1.3600232051658168e-14,1.0562163854398043e-05,0.9999924796772637,800,10,6
duffing,nlms,5,0.9994390208090705,-0.0005959134440198404,0.9994391984651325,0.28046440708545906,0.28046440708543224,2.681188604469753e-14,1.1108279394715711e-05,0.9999925412878578,800,10,7
duffing,nlms,4,0.9994390208090707,0.0005959134440199455,0.9994391984651326,0.2804644070854857,0.2804644070854694,1.63202784619898e-14,1.1108279396570585e-05,0.999992541287845,800,10,8
duffing,nlms,7,0.9998500033515992,-1.1652256683565981e-31,0.9998500033515992,0.31414606125274713,0.3141460612527552,8.049116928532385e-15,1.7015864944615638e-05,0.9999852823477116,800,10,9
duffing,nlms,9,0.9999404007369526,2.529573408541836e-32,0.9999404007369526,0.763932734138981,0.763932734139055,7.405187574249794e-14,2.140254408343193e-05,0.9999806986327755,800,10,10
duffing,ridge_ls,9,1.0000000000122957,-2.1771175991567233e-33,1.0000000000122957,0.0009754599680155163,0.0009754599680156991,1.8279648628105605e-16,2.224132991925714e-08,0.9999999995974735,800,10,1
